road_id,road_name,road_type,proposed_trees,species_english,species_arabic,selection_reason,estimated_cost_egp,total_length_m,eligible_length_m,excluded_length_m
KED-ROAD-03095,حارة المنتصر,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,53.39,41.4,11.99
KED-ROAD-03096,حارة المنتصر,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,53.39,41.4,11.99
KED-ROAD-05244,شارع 9,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,50.3,38.31,11.99
KED-ROAD-00981,شارع القلعه,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,47.51,35.52,11.99
KED-ROAD-00982,شارع القلعه,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,47.51,35.52,11.99
KED-ROAD-02170,شارع 25 يناير,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,48.66,36.66,11.99
KED-ROAD-05387,شارع مساكن التمليك,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,53.87,41.89,11.99
KED-ROAD-05388,شارع مساكن التمليك,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,53.87,41.89,11.99
KED-ROAD-00290,شارع 108,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,47.96,35.96,11.99
KED-ROAD-02191,شارع 25 يناير,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,48.66,36.66,11.99
KED-ROAD-02192,شارع 1,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,47.55,35.56,11.99
KED-ROAD-02193,شارع 1,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,47.55,35.56,11.99
KED-ROAD-00935,شارع الشاذلى,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,53.06,41.07,11.99
KED-ROAD-00936,شارع الشاذلى,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,53.06,41.07,11.99
KED-ROAD-06079,شارع اللواء محمود ابراهيم الكومى,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,48.93,36.93,11.99
KED-ROAD-06080,شارع اللواء محمود ابراهيم الكومى,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,48.93,36.93,11.99
KED-ROAD-04805,شارع مساكن الغزل,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,50.62,38.63,11.99
KED-ROAD-04806,شارع الشهيد طلعت ابراهيم عبد الحميد,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,50.67,38.68,12.0
KED-ROAD-04874,شارع صلاح سالم,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,53.78,41.79,12.0
KED-ROAD-04875,شارع صلاح سالم,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,53.78,41.79,12.0
KED-ROAD-03144,شارع غزه,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,48.56,36.58,11.99
KED-ROAD-04864,شارع مبره محمد على,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,53.69,41.7,11.99
KED-ROAD-04865,شارع مبره محمد على,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,53.69,41.7,11.99
KED-ROAD-04866,شارع ناتجاس,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,52.53,40.54,11.99
KED-ROAD-04867,شارع ناتجاس,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,52.53,40.54,11.99
KED-ROAD-02163,شارع 106,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,49.35,37.35,11.99
KED-ROAD-02164,شارع 106,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,49.35,37.35,11.99
KED-ROAD-04007,شارع شتا,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,53.76,41.77,11.99
KED-ROAD-04008,شارع شتا,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,53.76,41.77,11.99
KED-ROAD-04009,شارع محروس,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,50.6,38.6,12.0
KED-ROAD-04010,شارع محروس,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,50.6,38.6,12.0
KED-ROAD-04013,شارع لبيب,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,47.57,35.57,12.0
KED-ROAD-00874,شارع زين العابدين,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,49.66,37.66,12.0
KED-ROAD-00875,شارع زين العابدين,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,49.66,37.66,12.0
KED-ROAD-03227,حارة أبناء الصعيد,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,53.57,41.57,12.0
KED-ROAD-03228,حارة أبناء الصعيد,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,53.57,41.57,12.0
KED-ROAD-00520,شارع ابو بكر الصديق,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,50.17,38.18,12.0
KED-ROAD-03319,شارع عزيز المصري,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,47.66,35.67,11.99
KED-ROAD-03320,شارع عزيز المصري,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,47.66,35.67,11.99
KED-ROAD-00804,شارع ابو بكر الصديق,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,51.8,39.8,12.0
KED-ROAD-00805,شارع ابو بكر الصديق,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,51.8,39.8,12.0
KED-ROAD-00808,شارع عمر شاهين,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,53.17,41.17,12.0
KED-ROAD-00809,شارع عمر شاهين,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,53.17,41.17,12.0
KED-ROAD-04014,شارع لبيب,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,47.57,35.57,12.0
KED-ROAD-02047,"طريق كفر الدوار, ابو المطامير",secondary,5,Neem,نيم,نوع طريق رئيسي/متوسط (secondary) — تم اختيار نيم (Neem) لأعلى توافق موثّق (تحمل حراري مرتفع، احتياج مائي منخفض، ملاءمة عالية للطرق).,2500.0,59.42,47.43,11.99
KED-ROAD-02048,"طريق كفر الدوار, ابو المطامير",secondary,5,Neem,نيم,نوع طريق رئيسي/متوسط (secondary) — تم اختيار نيم (Neem) لأعلى توافق موثّق (تحمل حراري مرتفع، احتياج مائي منخفض، ملاءمة عالية للطرق).,2500.0,59.42,47.43,11.99
KED-ROAD-02063,شارع الصعايدة,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,49.36,37.37,11.99
KED-ROAD-02064,شارع الصعايدة,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,49.36,37.37,11.99
KED-ROAD-03422,شارع الاتوبيس,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,53.12,41.13,11.99
KED-ROAD-03423,شارع مدين,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,52.34,40.35,11.99
KED-ROAD-03424,شارع مدين,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,52.34,40.35,11.99
KED-ROAD-00717,شارع الخير,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,50.48,38.49,11.99
KED-ROAD-00718,شارع الخير,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,50.48,38.49,11.99
KED-ROAD-05053,شارع غطاس تادرس,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,50.36,38.36,11.99
KED-ROAD-05054,شارع غطاس تادرس,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,50.36,38.36,11.99
KED-ROAD-03421,شارع الاتوبيس,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,53.12,41.13,11.99
KED-ROAD-03335,شارع محمد ذكى,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,51.87,39.88,11.99
KED-ROAD-00561,شارع ابو بكر الصديق,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,50.17,38.18,12.0
KED-ROAD-00562,شارع 50,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,58.67,40.88,17.78
KED-ROAD-05106,الطريق الدولي,tertiary,5,Neem,نيم,نوع طريق رئيسي/متوسط (tertiary) — تم اختيار نيم (Neem) لأعلى توافق موثّق (تحمل حراري مرتفع، احتياج مائي منخفض، ملاءمة عالية للطرق).,2500.0,56.83,44.84,11.99
KED-ROAD-00291,شارع 108,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,47.96,35.96,11.99
KED-ROAD-05060,شارع حسن مرزوق,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,52.24,40.25,11.99
KED-ROAD-03329,شارع ام صابر,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,47.87,35.88,11.99
KED-ROAD-03330,شارع ام صابر,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,47.87,35.88,11.99
KED-ROAD-03331,شارع ابو بكر الصديق,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,50.29,38.3,11.99
KED-ROAD-03332,شارع عزيز المصري,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,48.03,36.04,11.99
KED-ROAD-03333,شارع عزيز المصري,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,48.03,36.04,11.99
KED-ROAD-03334,شارع محمد ذكى,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,51.87,39.88,11.99
KED-ROAD-00645,شارع الوقار,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,50.02,38.04,11.99
KED-ROAD-00646,شارع الوقار,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,50.02,38.04,11.99
KED-ROAD-00607,شارع 105,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,49.75,37.76,11.99
KED-ROAD-00608,شارع 105,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,49.75,37.76,11.99
KED-ROAD-05059,شارع حسن مرزوق,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,52.24,40.25,11.99
KED-ROAD-00320,عطفه الجمهوريه,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,53.35,41.36,11.99
KED-ROAD-00321,عطفه الجمهوريه,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,53.35,41.36,11.99
KED-ROAD-02003,شارع حامد النداف,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,53.6,41.6,12.0
KED-ROAD-02004,شارع حامد النداف,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,53.6,41.6,12.0
KED-ROAD-04123,شارع الوزير,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,50.0,38.01,11.99
KED-ROAD-04124,شارع الوزير,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,50.0,38.01,11.99
KED-ROAD-04167,شارع الحناوي,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,47.18,35.19,11.99
KED-ROAD-04168,شارع الحناوي,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,47.18,35.19,11.99
KED-ROAD-00033,شارع 7,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,49.24,37.26,11.99
KED-ROAD-06448,شارع محمد انور السادات,residential,5,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2500.0,48.25,36.25,11.99
KED-ROAD-00133,شارع على مبروك خفاجه,residential,4,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2000.0,43.08,31.09,11.99
KED-ROAD-06200,شارع اللواء محمود ابراهيم الكومى,residential,4,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2000.0,44.79,32.8,12.0
KED-ROAD-06199,شارع اللواء محمود ابراهيم الكومى,residential,4,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2000.0,44.79,32.8,12.0
KED-ROAD-00118,شارع محمد عبيد جنيدي,residential,4,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2000.0,42.96,30.97,11.99
KED-ROAD-00117,شارع محمد عبيد جنيدي,residential,4,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2000.0,42.96,30.97,11.99
KED-ROAD-06361,شارع خلف المساكن,residential,4,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2000.0,41.48,29.48,11.99
KED-ROAD-00134,شارع على مبروك خفاجه,residential,4,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2000.0,43.08,31.09,11.99
KED-ROAD-03348,شارع الشهيد حسنى كامل,residential,4,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2000.0,46.95,34.97,11.99
KED-ROAD-00643,شارع الحسين,residential,4,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2000.0,44.92,32.93,11.99
KED-ROAD-00644,شارع الحسين,residential,4,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2000.0,44.92,32.93,11.99
KED-ROAD-00609,شارع مسجد الشهداء,residential,4,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2000.0,40.05,28.06,12.0
KED-ROAD-05058,شارع كشك,residential,4,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2000.0,44.23,32.25,11.99
KED-ROAD-04165,شارع المنايفة,residential,4,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2000.0,40.08,28.09,11.99
KED-ROAD-01953,شارع ابو عسل,residential,4,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2000.0,43.26,31.26,11.99
KED-ROAD-01954,شارع ابو عسل,residential,4,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2000.0,43.26,31.26,11.99
KED-ROAD-01945,شارع ابو عسل,residential,4,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2000.0,41.31,29.31,12.0
KED-ROAD-01946,شارع ابو عسل,residential,4,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2000.0,41.31,29.31,12.0
KED-ROAD-04176,شارع المنايفة,residential,4,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2000.0,40.08,28.09,11.99
KED-ROAD-00534,شارع 41,residential,4,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2000.0,42.34,30.35,11.99
KED-ROAD-00535,شارع 41,residential,4,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,2000.0,42.34,30.35,11.99
